"sys_pk","sys_timestamp","sys_guid","sys_dtcreated","sys_user","sys_lastuser","sys_exported","sys_dtexported","sys_info","codigo","descripcion","tcambio","sys_recver","sys_deleted","sys_lock"
"101","2016-01-01 12:00:00","7fd2cc75522e421ea4f35eff2e35a67b","2016-01-01 12:00:00",\N,\N,"0","2016-01-01 12:00:00",\N,"NPR","Rupia nepalesa","1.00000000","0",\N,\N
"102","2016-01-01 12:00:00","2240e525dfc444859a137a11eb0ac83b","2016-01-01 12:00:00",\N,\N,"0","2016-01-01 12:00:00",\N,"NZD","Dólar neozelandés","1.00000000","0",\N,\N
"103","2016-01-01 12:00:00","186bac6783894e01bc84b036d7a867de","2016-01-01 12:00:00",\N,\N,"0","2016-01-01 12:00:00",\N,"OMR","Rial omaní","1.00000000","0",\N,\N
"104","2016-01-01 12:00:00","774126d91fb840c19cecb19299e6863c","2016-01-01 12:00:00",\N,\N,"0","2016-01-01 12:00:00",\N,"PAB","Balboa panameña","1.00000000","0",\N,\N
"105","2016-01-01 12:00:00","91ecaf281a2540fd8c08e99a575a996c","2016-01-01 12:00:00",\N,\N,"0","2016-01-01 12:00:00",\N,"PEN","Nuevo sol peruano","1.00000000","0",\N,\N
"106","2016-01-01 12:00:00","5567c199f5ef4d31b6714683b794845c","2016-01-01 12:00:00",\N,\N,"0","2016-01-01 12:00:00",\N,"PGK","Kina de Papúa Nueva Guinea","1.00000000","0",\N,\N
"107","2016-01-01 12:00:00","b71029b87b694f109436bd3251a875dd","2016-01-01 12:00:00",\N,\N,"0","2016-01-01 12:00:00",\N,"PHP","Peso filipino","1.00000000","0",\N,\N
"108","2016-01-01 12:00:00","68a8c056e5df4df1b4768e8fc13e5da6","2016-01-01 12:00:00",\N,\N,"0","2016-01-01 12:00:00",\N,"PKR","Rupia pakistaní","1.00000000","0",\N,\N
"109","2016-01-01 12:00:00","0f8d3b57958b433b8a32aacec6678619","2016-01-01 12:00:00",\N,\N,"0","2016-01-01 12:00:00",\N,"PLN","zloty polaco","1.00000000","0",\N,\N
"110","2016-01-01 12:00:00","a628ae76f1904f2f825e3725d4721f31","2016-01-01 12:00:00",\N,\N,"0","2016-01-01 12:00:00",\N,"PYG","Guaraní paraguayo","1.00000000","0",\N,\N
"111","2016-01-01 12:00:00","d2f4bdfcb8f24372af06a867bd546bcc","2016-01-01 12:00:00",\N,\N,"0","2016-01-01 12:00:00",\N,"QAR","Rial qatarí","1.00000000","0",\N,\N
"112","2016-01-01 12:00:00","d2f700cb8dc144a5b8eae0924d431b38","2016-01-01 12:00:00",\N,\N,"0","2016-01-01 12:00:00",\N,"RON","Leu rumano","1.00000000","0",\N,\N
"113","2016-01-01 12:00:00","34e8b812aa144d52ab6f480bd9715623","2016-01-01 12:00:00",\N,\N,"0","2016-01-01 12:00:00",\N,"RUB","Rublo ruso","1.00000000","0",\N,\N
"114","2016-01-01 12:00:00","70d01130f23b4c469d1890bc781a60ea","2016-01-01 12:00:00",\N,\N,"0","2016-01-01 12:00:00",\N,"RWF","Franco ruandés","1.00000000","0",\N,\N
"115","2016-01-01 12:00:00","532fdbc83b144ca7a8e7de0ac55e6b2a","2016-01-01 12:00:00",\N,\N,"0","2016-01-01 12:00:00",\N,"SAR","Riyal saudí","1.00000000","0",\N,\N
"116","2016-01-01 12:00:00","acfeb03bd6f24ed6aa5b9dc94f7e5342","2016-01-01 12:00:00",\N,\N,"0","2016-01-01 12:00:00",\N,"SBD","Dólar de las Islas Salomón","1.00000000","0",\N,\N
"117","2016-01-01 12:00:00","016453e210624a51bc50133960e05bf0","2016-01-01 12:00:00",\N,\N,"0","2016-01-01 12:00:00",\N,"SCR","Rupia de Seychelles","1.00000000","0",\N,\N
"118","2016-01-01 12:00:00","3bad112b639c4dec8ad1b3143c658a89","2016-01-01 12:00:00",\N,\N,"0","2016-01-01 12:00:00",\N,"SDG","Dinar sudanés","1.00000000","0",\N,\N
"119","2016-01-01 12:00:00","4593054661914485b656b77bdf246f18","2016-01-01 12:00:00",\N,\N,"0","2016-01-01 12:00:00",\N,"SEK","Corona sueca","1.00000000","0",\N,\N
"120","2016-01-01 12:00:00","de2fdb03fa914d9ea428c5d734c6cff6","2016-01-01 12:00:00",\N,\N,"0","2016-01-01 12:00:00",\N,"SGD","Dólar de Singapur","1.00000000","0",\N,\N
"121","2016-01-01 12:00:00","e39e846e6c324984b3e457ed4f88841f","2016-01-01 12:00:00",\N,\N,"0","2016-01-01 12:00:00",\N,"SHP","Libra de Santa Helena","1.00000000","0",\N,\N
"122","2016-01-01 12:00:00","50a238a0cc724d42b341997450f6962c","2016-01-01 12:00:00",\N,\N,"0","2016-01-01 12:00:00",\N,"SLL","Leone de Sierra Leona","1.00000000","0",\N,\N
"123","2016-01-01 12:00:00","1d823912e4894a888e47e4d1fec8cff2","2016-01-01 12:00:00",\N,\N,"0","2016-01-01 12:00:00",\N,"SOS","Chelín somalí","1.00000000","0",\N,\N
"124","2016-01-01 12:00:00","320ec6a5b1804afaa7f13f534406091c","2016-01-01 12:00:00",\N,\N,"0","2016-01-01 12:00:00",\N,"SRD","Dólar surinamés","1.00000000","0",\N,\N
"125","2016-01-01 12:00:00","9d6cd47a970c4410b86bae60747813ee","2016-01-01 12:00:00",\N,\N,"0","2016-01-01 12:00:00",\N,"STD","Dobra de Santo Tomé y Príncipe","1.00000000","0",\N,\N
"126","2016-01-01 12:00:00","4de6aed19b5f421d922d9f9c3981f707","2016-01-01 12:00:00",\N,\N,"0","2016-01-01 12:00:00",\N,"SYP","Libra siria","1.00000000","0",\N,\N
"127","2016-01-01 12:00:00","1837ade9f7b3458ca01d6ce9e741c826","2016-01-01 12:00:00",\N,\N,"0","2016-01-01 12:00:00",\N,"SZL","Lilangeni suazi","1.00000000","0",\N,\N
"128","2016-01-01 12:00:00","56b33b16c8814d33a1dee8d9eabf7387","2016-01-01 12:00:00",\N,\N,"0","2016-01-01 12:00:00",\N,"THB","Baht tailandés","1.00000000","0",\N,\N
